state,Population_estimates_2016,Population_estimates_2010
Alabama,4863300,4780131
Alaska,741894,710249
Arizona,6931071,6392301
Arkansas,2988248,2916025
California,39250017,37254522
Colorado,5540545,5029324
Connecticut,3576452,3574114
Delaware,952065,897936
Florida,20612439,18804592
Georgia,10310371,9688680
Hawaii,1428557,1360301
Idaho,1683140,1567650
Illinois,12801539,12831574
Indiana,6633053,6484136
Iowa,3134693,3046869
Kansas,2907289,2853129
Kentucky,4436974,4339344
Louisiana,4681666,4533479
Maine,1331479,1328364
Maryland,6016447,5773786
Massachusetts,6811779,6547813
Michigan,9928300,9884129
Minnesota,5519952,5303924
Mississippi,2988726,2968103
Missouri,6093000,5988928
Montana,1042520,989414
Nebraska,1907116,1826334
Nevada,2940058,2700691
New Hampshire,1334795,1316461
New Jersey,8944469,8791953
New Mexico,2081015,2059198
New York,19745289,19378110
North Carolina,10146788,9535688
North Dakota,757952,672591
Ohio,11614373,11536727
Oklahoma,3923561,3751615
Oregon,4093465,3831072
Pennsylvania,12784227,12702857
Rhode Island,1056426,1052940
South Carolina,4961119,4625410
South Dakota,865454,814195
Tennessee,6651194,6346298
Texas,27862596,25146100
Utah,3051217,2763888
Vermont,624594,625741
Virginia,8411808,8001041
Washington,7288000,6724545
West Virginia,1831102,1853011
Wisconsin,5778708,5687289
Wyoming,585501,563767
