month,state,permit,handgun,long_gun,other,multiple,totals
2017-09-01,Alabama,16717.0,5734.0,6320.0,221.0,317,32019
2017-09-01,Alaska,209.0,2320.0,2930.0,219.0,160,6303
2017-09-01,Arizona,5069.0,11063.0,7946.0,920.0,631,28394
2017-09-01,Arkansas,2935.0,4347.0,6063.0,165.0,366,17747
2017-09-01,California,57839.0,37165.0,24581.0,2984.0,0,123506
2017-09-01,Colorado,4356.0,15751.0,13448.0,1007.0,1062,35873
2017-09-01,Connecticut,4343.0,4834.0,1993.0,274.0,0,12117
2017-09-01,Delaware,275.0,1414.0,1538.0,66.0,68,3502
2017-09-01,Florida,10784.0,39199.0,17949.0,2319.0,1721,77390
2017-09-01,Georgia,12074.0,10933.0,7982.0,315.0,494,35371
2017-09-01,Hawaii,946.0,0.0,0.0,0.0,0,948
2017-09-01,Idaho,5162.0,3058.0,5241.0,187.0,205,14938
2017-09-01,Illinois,15712.0,18290.0,10201.0,0.0,814,116449
2017-09-01,Indiana,18241.0,16093.0,11332.0,1123.0,597,48524
2017-09-01,Iowa,5847.0,151.0,2640.0,27.0,1,9975
2017-09-01,Kansas,1567.0,4518.0,5025.0,306.0,297,12856
2017-09-01,Kentucky,378384.0,8112.0,7543.0,253.0,543,398706
2017-09-01,Louisiana,1827.0,10495.0,11573.0,635.0,776,27821
2017-09-01,Maine,783.0,3026.0,4220.0,179.0,186,8715
2017-09-01,Maryland,2424.0,3389.0,4897.0,168.0,34,11255
2017-09-01,Massachusetts,7160.0,4749.0,2808.0,449.0,158,15460
2017-09-01,Michigan,16571.0,8654.0,10676.0,379.0,163,36944
2017-09-01,Minnesota,25645.0,4862.0,12677.0,346.0,273,44552
2017-09-01,Mississippi,1362.0,6260.0,6035.0,206.0,405,17491
2017-09-01,Missouri,791.0,16993.0,14395.0,1050.0,991,37571
2017-09-01,Montana,1076.0,2395.0,4878.0,140.0,216,10283
2017-09-01,Nebraska,3036.0,110.0,1989.0,11.0,4,5345
2017-09-01,Nevada,1952.0,3992.0,2509.0,251.0,237,9460
2017-09-01,New Hampshire,2795.0,4410.0,3248.0,132.0,3,10689
2017-09-01,New Jersey,0.0,3985.0,3040.0,140.0,0,7165
2017-09-01,New Mexico,847.0,5309.0,4508.0,353.0,284,12491
2017-09-01,New York,2933.0,8392.0,16213.0,998.0,185,30703
2017-09-01,North Carolina,19292.0,1235.0,11340.0,657.0,233,37325
2017-09-01,North Dakota,486.0,1359.0,2919.0,99.0,82,5212
2017-09-01,Ohio,8741.0,21085.0,14998.0,1202.0,1026,49942
2017-09-01,Oklahoma,0.0,8869.0,9020.0,741.0,807,23371
2017-09-01,Oregon,3774.0,11557.0,11773.0,0.0,7,27277
2017-09-01,Pennsylvania,23144.0,39825.0,13222.0,48.0,0,77003
2017-09-01,Rhode Island,0.0,907.0,619.0,70.0,163,1799
2017-09-01,South Carolina,9380.0,7574.0,6037.0,379.0,295,25930
2017-09-01,South Dakota,562.0,2020.0,4155.0,154.0,141,7457
2017-09-01,Tennessee,16887.0,19219.0,13746.0,1042.0,0,50945
2017-09-01,Texas,31390.0,39119.0,39416.0,2768.0,2473,128260
2017-09-01,Utah,12094.0,2840.0,3960.0,212.0,0,20041
2017-09-01,Vermont,0.0,1276.0,1591.0,90.0,80,3084
2017-09-01,Virginia,585.0,19676.0,15075.0,1100.0,0,36446
2017-09-01,Washington,11451.0,13292.0,11548.0,1623.0,587,43049
2017-09-01,West Virginia,1668.0,5204.0,6161.0,216.0,387,16723
2017-09-01,Wisconsin,12224.0,10918.0,13133.0,612.0,43,37506
2017-09-01,Wyoming,280.0,1337.0,2015.0,61.0,97,4281
2017-08-01,Alabama,19733.0,6289.0,6045.0,216.0,311,35038
2017-08-01,Alaska,247.0,2656.0,3097.0,207.0,184,6946
2017-08-01,Arizona,6733.0,10864.0,7686.0,908.0,627,29376
2017-08-01,Arkansas,3313.0,4827.0,5297.0,220.0,323,17517
2017-08-01,California,59528.0,41110.0,26220.0,3058.0,0,130901
2017-08-01,Colorado,5219.0,16610.0,12925.0,1013.0,1035,37150
2017-08-01,Connecticut,5896.0,5289.0,1988.0,290.0,0,14019
2017-08-01,Delaware,288.0,1571.0,1349.0,94.0,58,3509
2017-08-01,Florida,18362.0,46682.0,21717.0,2847.0,2048,96664
2017-08-01,Georgia,15046.0,11719.0,7797.0,377.0,525,38830
2017-08-01,Hawaii,1077.0,0.0,0.0,0.0,0,1079
2017-08-01,Idaho,4736.0,3216.0,3966.0,186.0,205,13341
2017-08-01,Illinois,17053.0,19807.0,11333.0,0.0,779,126921
2017-08-01,Indiana,15664.0,17271.0,11844.0,1132.0,698,47649
